Time,L_S,A,B,C,D,E
49807.95833330202,448.2395911525673,9.034074224631645,9.104445583184948,874.3823575465656,873.6112413346409,880.5285002361213
49807.999999968684,448.25747908590756,9.00000000000002,8.9851093262676,869.8769642447887,866.1856797122811,873.0436887358353
49808.04166663535,448.2763399227684,9.034074122779991,9.104145154293455,864.0634170964388,857.9472622921594,864.7625238057547
49808.08333330201,448.29520076036044,9.133974497800052,9.452557447846745,858.3486788460806,851.863171777774,858.6356857938132
49808.12499996868,448.31406159795256,9.292893079639452,10.003987300435751,851.5632772878006,847.870773704154,854.600540222637
49808.16666663534,448.3329224355446,9.499999829555382,10.716553404283568,841.3880781745155,843.3838464222355,850.0708654431625
49808.208333302005,448.3517832731367,9.741180764743937,11.535779628296805,827.6679028666274,836.2996632701635,842.9439347935344
49808.24999996867,448.37064411072873,9.999999803147835,12.398408522241743,814.021578116095,827.4847925945993,834.0863166204141
49808.291666635334,448.3895049483208,10.25881885491066,13.23683913163123,805.7439089076473,820.3291346356327,826.8879111638914
49808.333333302,448.4083657859129,10.499999829486669,13.983884526506435,805.7466205459037,817.8989027938718,824.4149318245743
49808.37499996866,448.42722662350496,10.70710664192839,14.577522243455958,812.3942519188548,820.5250093225645,826.9982908557109
49808.41666663533,448.446087461097,10.86602530531868,14.965310972627886,821.3546207189639,826.0806441099235,832.5111781455138
49808.45833330199,448.4649482986891,10.965925775321832,15.108169244723669,829.6650639018084,832.4133418242749,838.8011283623091
49808.499999968655,448.48380913628114,10.99999999999998,14.983255104649526,838.0196121782366,839.2740987731594,845.6191378136375
49808.54166663532,448.50266997387325,10.965925877266532,14.585746822709714,849.0476797856963,847.7605298730942,854.0628214160163
49808.583333301984,448.5215308114653,10.866025502289823,13.929399458517457,863.3776185145548,858.0104417249122,864.2699857702781
49808.62499996865,448.54039164905737,10.70710692048765,13.045835446402073,877.5661853133487,867.8058128834567,874.0226094312666
49808.66666663531,448.5592524866494,10.500000170600288,11.982613649712958,886.2120219469234,873.8572555980779,880.0313046483317
49808.70833330198,448.5781133242415,10.258819235429689,10.80020463786852,886.4475574138698,874.7126655777664,880.843967130464
49808.74999996864,448.59697416183354,10.000000197031914,9.568074615925303,880.5714425697436,872.3712713770393,878.4598254321808
49808.791666635305,448.61583499942566,9.741181145262965,8.360141376242511,874.2567146835178,870.7656754137439,876.8114819713293
49808.83333330197,448.6346958370177,9.500000170668999,7.249908686461009,871.9342105504392,872.3159060020091,878.3189650620384
49808.87499996863,448.6535566746098,9.292893358198715,6.305607765241062,873.5566985585768,875.7497286497495,881.7100402122227
49808.9166666353,448.67241751220183,9.133974694771196,5.58567436109449,875.5035688772556,877.286365146552,883.2039292114691
49808.95833330196,448.6912783497939,9.03407422472469,5.134867499435718,874.3823575514845,874.1010005542933,879.9758171216542
49808.999999968626,448.710139187386,9.00000000000002,4.98129266411884,869.8769642524226,866.8149878418993,872.6470569117042
49809.04166663529,448.72940129354953,9.034074122686945,5.13453102565088,864.0634171055176,858.6846583776859,864.7175329281523
49809.083333301955,448.74866340001523,9.133974497620303,5.585001442344537,858.3486788541232,852.5120561630993,858.7457363776165
49809.12499996862,448.76792550648094,9.292893079385248,6.304598457593811,851.563277299014,848.194283377717,854.6287692562851
49809.16666663528,448.7871876129466,9.499999829193635,7.248563069268542,841.3880781913274,843.2853169367546,849.9206084793734
49809.20833330195,448.8064497194123,9.741180764396686,8.35845954698553,827.6679028866133,835.8962585627071,842.7323557693767
49809.24999996861,448.825711825878,9.999999802788336,9.56605668408584,814.0215781322672,827.0254746118227,834.0623774825432
49809.291666635276,448.8449739323437,10.25881885456341,10.797850716688483,805.7439089132391,820.0345171456062,827.2722256803775
49809.33333330194,448.8642360388094,10.499999829175334,11.97992385063304,805.746620540483,817.84112973184,825.2796439306621
49809.374999968604,448.8834981452751,10.707106641674184,13.042809869992654,812.3942519071189,820.6127478253286,828.2520676882015
